Phenotype,Source
120000#Ever had osteoarthritis affecting one or more joints e g hip knee shoulder,Binary
120001#Ever had rheumatoid arthritis affecting one or more joints,Binary
120002#Ever had cancer pain,Binary
120003#Ever had carpal tunnel syndrome,Binary
120004#Ever had complex regional pain syndrome also known as CRPS,Binary
120005#Ever had chronic post surgical pain,Binary
120007#Ever had diabetes Type I or Type II,Binary
120008#Ever had any cause of nerve damage neuropathy other than diabetic neuropathy,Binary
120009#Ever had fibromyalgia syndrome,Binary
120010#Ever had chronic Fatigue Syndrome or Myalgic Encephalomyelitis M E,Binary
120011#Ever had gout,Binary
120017#Ever had pelvic pain,Binary
120018#Ever had post herpetic neuralgia pain after shingles,Binary
130003#Source of report of A01 typhoid and paratyphoid fevers,Binary
130005#Source of report of A02 other salmonella infections,Binary
130007#Source of report of A03 shigellosis,Binary
130009#Source of report of A04 other bacterial intestinal infections,Binary
130011#Source of report of A05 other bacterial foodborne intoxications,Binary
130013#Source of report of A06 amoebiasis,Binary
130015#Source of report of A07 other protozoal intestinal diseases,Binary
130017#Source of report of A08 viral and other specified intestinal infections,Binary
130019#Source of report of A09 diarrhoea and gastro enteritis of presumed infectious origin,Binary
130021#Source of report of A15 respiratory tuberculosis bacteriologically and histologically confirmed,Binary
130023#Source of report of A16 respiratory tuberculosis not confirmed bacteriologically or histologically,Binary
130027#Source of report of A18 tuberculosis of other organs,Binary
130045#Source of report of A27 leptospirosis,Binary
130047#Source of report of A28 other zoonotic bacterial diseases not elsewhere classified,Binary
130051#Source of report of A31 infection due to other mycobacteria,Binary
130059#Source of report of A35 other tetanus,Binary
130061#Source of report of A36 diphtheria,Binary
130063#Source of report of A37 whooping cough,Binary
130065#Source of report of A38 scarlet fever,Binary
130067#Source of report of A39 meningococcal infection,Binary
130069#Source of report of A40 streptococcal septicaemia,Binary
130071#Source of report of A41 other septicaemia,Binary
130073#Source of report of A42 actinomycosis,Binary
130079#Source of report of A46 erysipelas,Binary
130081#Source of report of A48 other bacterial diseases not elsewhere classified,Binary
130083#Source of report of A49 bacterial infection of unspecified site,Binary
130119#Source of report of A69 other spirochaetal infections,Binary
130135#Source of report of A80 acute poliomyelitis,Binary
130137#Source of report of A81 atypical virus infections of central nervous system,Binary
130147#Source of report of A86 unspecified viral encephalitis,Binary
130149#Source of report of A87 viral meningitis,Binary
130153#Source of report of A89 unspecified viral infection of central nervous system,Binary
130155#Source of report of A90 dengue fever classical dengue,Binary
130165#Source of report of A95 yellow fever,Binary
130177#Source of report of B01 varicella chickenpox,Binary
130179#Source of report of B02 zoster herpes zoster,Binary
130185#Source of report of B05 measles,Binary
130187#Source of report of B06 rubella german measles,Binary
130189#Source of report of B07 viral warts,Binary
130191#Source of report of B08 other viral infections characterised by skin and mucous membrane lesions NEC,Binary
130195#Source of report of B15 acute hepatitis a,Binary
130197#Source of report of B16 acute hepatitis b,Binary
130199#Source of report of B17 other acute viral hepatitis,Binary
130201#Source of report of B18 chronic viral hepatitis,Binary
130203#Source of report of B19 unspecified viral hepatitis,Binary
130205#Source of report of B20 human immunodeficiency virus hiv disease resulting in infectious and parasitic diseases,Binary
130213#Source of report of B24 unspecified human immunodeficiency virus hiv disease,Binary
130215#Source of report of B25 cytomegaloviral disease,Binary
130217#Source of report of B26 mumps,Binary
130219#Source of report of B27 infectious mononucleosis,Binary
130221#Source of report of B30 viral conjunctivitis,Binary
130223#Source of report of B33 other viral diseases not elsewhere classified,Binary
130225#Source of report of B34 viral infection of unspecified site,Binary
130227#Source of report of B35 dermatophytosis,Binary
130229#Source of report of B36 other superficial mycoses,Binary
130231#Source of report of B37 candidiasis,Binary
130245#Source of report of B44 aspergillosis,Binary
130255#Source of report of B49 unspecified mycosis,Binary
130257#Source of report of B50 plasmodium falciparum malaria,Binary
130265#Source of report of B54 unspecified malaria,Binary
130273#Source of report of B58 toxoplasmosis,Binary
130275#Source of report of B59 pneumocystosis,Binary
130281#Source of report of B65 schistosomiasis bilharziasis,Binary
130311#Source of report of B80 enterobiasis,Binary
130315#Source of report of B82 unspecified intestinal parasitism,Binary
130317#Source of report of B83 other helminthiases,Binary
130319#Source of report of B85 pediculosis and phthiriasis,Binary
130321#Source of report of B86 scabies,Binary
130325#Source of report of B88 other infestations,Binary
130329#Source of report of B90 sequelae of tuberculosis,Binary
130331#Source of report of B91 sequelae of poliomyelitis,Binary
130335#Source of report of B94 sequelae of other and unspecified infectious and parasitic diseases,Binary
130337#Source of report of B95 streptococcus and staphylococcus as the cause of diseases classified to other chapters,Binary
130339#Source of report of B96 other bacterial agents as the cause of diseases classified to other chapters,Binary
130341#Source of report of B97 viral agents as the cause of diseases classified to other chapters,Binary
130343#Source of report of B98 other specified infectious agents as the cause of diseases classified to other chapters,Binary
130345#Source of report of B99 other and unspecified infectious diseases,Binary
130623#Source of report of D50 iron deficiency anaemia,Binary
130625#Source of report of D51 vitamin b12 deficiency anaemia,Binary
130627#Source of report of D52 folate deficiency anaemia,Binary
130629#Source of report of D53 other nutritional anaemias,Binary
130633#Source of report of D56 thalassaemia,Binary
130637#Source of report of D58 other hereditary haemolytic anaemias,Binary
130639#Source of report of D59 acquired haemolytic anaemia,Binary
