C0000744	MONDO:0008692
C0000774	MONDO:0001770
C0000832	MONDO:0004846
C0000833	MONDO:0005227
C0000880	MONDO:0005629
C0001079	MONDO:0019648
C0001080	MONDO:0007037
C0001139	MONDO:0006635
C0001175	MONDO:0012268
C0001193	MONDO:0007041
C0001206	MONDO:0019933
C0001231	MONDO:0043472
C0001255	MONDO:0006921
C0001261	MONDO:0005631
C0001264	MONDO:0005699
C0001339	MONDO:0006515
C0001360	MONDO:0001949
C0001396	MONDO:0043475
C0001403	MONDO:0015129
C0001431	MONDO:0006673
C0001432	MONDO:0006701
C0001433	MONDO:0006634
C0001486	MONDO:0043479
C0001519	MONDO:0018690
C0001529	MONDO:0007070
C0001614	MONDO:0002816
C0001618	MONDO:0036591
C0001622	MONDO:0006640
C0001624	MONDO:0021227
C0001627	MONDO:0018479
C0001727	MONDO:0006641
C0001768	MONDO:0015977
C0001849	MONDO:0020689
C0001857	MONDO:0005639
C0001860	MONDO:0007074
C0001906	MONDO:0004720
C0001916	MONDO:0043209
C0001957	MONDO:0006642
C0002066	MONDO:0008753
C0002438	MONDO:0005644
C0002447	MONDO:0017419
C0002631	MONDO:0020710
C0002726	MONDO:0019065
C0002735	MONDO:0056822
C0002797	MONDO:0025303
C0002831	MONDO:0005645
C0002875	MONDO:0016486
C0002892	MONDO:0008228
C0002894	MONDO:0019454
C0002895	MONDO:0011382
C0002938	MONDO:0700064
C0002982	MONDO:0011782
C0002983	MONDO:0004882
C0002986	MONDO:0010526
C0003079	MONDO:0007122
C0003125	MONDO:0005351
C0003126	MONDO:0010528
C0003128	MONDO:0002775
C0003152	MONDO:0006648
C0003175	MONDO:0005119
C0003177	MONDO:0004215
C0003467	MONDO:0011918
C0003492	MONDO:0007345
C0003511	MONDO:0006992
C0003708	MONDO:0015304
C0003723	MONDO:0020731
C0003742	MONDO:0007150
C0003803	MONDO:0000115
C0003810	MONDO:0036595
C0003860	MONDO:0043494
C0003872	MONDO:0011849
C0003873	MONDO:0008383
C0003886	MONDO:0008779
C0003950	MONDO:0005654
C0003952	MONDO:0005655
C0004030	MONDO:0005657
C0004135	MONDO:0008840
C0004245	MONDO:0000465
C0004331	MONDO:0008848
C0004576	MONDO:0005661
C0004606	MONDO:0001661
C0004610	MONDO:0005229
C0004623	MONDO:0005113
C0004626	MONDO:0004652
C0004669	MONDO:0006671
C0004692	MONDO:0005662
C0004698	MONDO:0007416
C0004771	MONDO:0005664
C0004773	MONDO:0006924
C0004775	MONDO:0015231
